iter	RMSE
0	78492.86312
1	78036.46576
2	77580.13513
3	77081.75292
4	76640.27479
5	76160.37201
6	75649.67013
7	75198.45469
8	74754.39203
9	74289.24063
10	73891.46833
11	73417.14798
12	72988.69147
13	72557.23548
14	72115.34532
15	71683.32375
16	71275.48741
17	70901.95658
18	70500.89329
19	70070.96414
20	69635.08975
21	69212.13111
22	68770.90977
23	68354.60706
24	67959.57749
25	67521.56958
26	67098.91927
27	66702.68449
28	66297.1763
29	65922.77187
30	65554.55076
31	65188.89773
32	64799.70093
33	64436.98262
34	64060.70677
35	63693.63483
36	63313.3266
37	62972.71534
38	62601.45576
39	62322.19596
40	61959.27767
41	61603.70163
42	61250.0538
43	60947.98134
44	60610.50152
45	60278.01246
46	59931.5801
47	59593.38519
48	59292.34163
49	58949.73514
50	58623.90404
51	58296.89256
52	57987.86113
53	57681.6438
54	57353.25949
55	57046.29791
56	56731.38663
57	56445.69794
58	56146.57297
59	55857.4926
60	55557.27056
61	55285.68244
62	54995.59458
63	54702.20891
64	54402.28195
65	54128.89149
66	53824.77207
67	53564.02835
68	53312.90369
69	53035.42154
70	52738.18791
71	52458.30866
72	52187.21997
73	51907.3532
74	51642.65683
75	51386.32481
76	51124.62075
77	50919.80563
78	50675.67623
79	50415.11366
80	50146.43521
81	49942.23899
82	49727.04259
83	49484.84358
84	49258.81267
85	49032.66272
86	48803.57523
87	48565.0786
88	48379.65518
89	48160.91044
90	47971.84116
91	47748.75078
92	47521.11953
93	47287.72669
94	47090.18937
95	46892.87941
96	46687.13484
97	46484.72451
98	46265.38772
99	46081.0593
100	45865.15462
101	45661.71723
102	45466.08802
103	45261.69123
104	45063.29275
105	44879.99818
106	44686.42805
107	44499.36463
108	44304.75635
109	44108.55995
110	43914.22357
111	43748.14596
112	43556.81696
113	43379.1145
114	43209.45671
115	43042.56713
116	42833.3875
117	42670.02563
118	42493.05105
119	42342.86284
120	42180.48098
121	42023.39944
122	41868.2588
123	41713.57613
124	41549.01168
125	41377.24778
126	41194.00964
127	41034.30267
128	40877.40068
129	40694.83115
130	40545.10867
131	40396.4241
132	40246.47685
133	40102.46219
134	39938.07809
135	39811.48832
136	39678.92044
137	39544.39172
138	39391.52874
139	39263.81563
140	39114.66883
141	38986.07597
142	38837.05872
143	38690.28409
144	38552.87901
145	38421.32347
146	38303.8884
147	38179.01074
148	38058.27518
149	37929.68868
150	37789.56277
151	37671.35533
152	37541.77705
153	37405.41433
154	37269.63282
155	37126.28362
156	37004.65625
157	36870.81058
158	36750.59985
159	36632.588
160	36518.41384
161	36401.47433
162	36284.43399
